0.567346938,New Point
0.661224489,New Point
1.571428571,New Point
1.620408163,New Point
1.708163265,New Point
2.579591836,New Point
3.891836734,New Point
4.024489795,New Point
4.132653061,New Point
5.197959183,New Point
5.577551020,New Point
5.971428571,New Point
6.161224489,New Point
6.379591836,New Point
6.765714285,New Point
6.887619047,New Point
7.055963718,New Point
7.871564625,New Point
8.414331065,New Point
8.591383219,New Point
9.090612244,New Point
9.293786848,New Point
10.306757369,New Point
10.408344671,New Point
10.933696145,New Point
11.386485260,New Point
11.447437641,New Point
11.766712018,New Point
11.847981859,New Point
12.062766439,New Point
12.175963718,New Point
12.361723356,New Point
12.544580498,New Point
12.605532879,New Point
12.768072562,New Point
13.122176870,New Point
13.841995464,New Point
14.080000000,New Point
14.857868480,New Point
15.142312925,New Point
15.284535147,New Point
16.103038548,New Point
16.277188208,New Point
16.335238095,New Point
16.878004535,New Point
17.522358276,New Point
17.638458049,New Point
18.117369614,New Point
18.947482993,New Point
20.160725623,New Point
20.372607709,New Point
21.275283446,New Point
21.440725623,New Point
22.102494331,New Point
23.083537414,New Point
23.211247165,New Point
23.321541950,New Point
23.408616780,New Point
23.597278911,New Point
23.971700680,New Point
24.169387755,New Point
24.465124716,New Point
24.569614512,New Point
25.034013605,New Point
25.240090702,New Point
25.988934240,New Point
26.070204081,New Point
26.421405895,New Point
26.592653061,New Point
28.737596371,New Point
29.585124716,New Point
31.021859410,New Point
31.541405895,New Point
31.735873015,New Point
31.825850340,New Point
32.261224489,New Point
32.625510204,New Point
32.705306122,New Point
33.816961451,New Point
33.880816326,New Point
34.104308390,New Point
34.284263038,New Point
34.612244897,New Point
37.775963718,New Point
37.958820861,New Point
38.391292517,New Point
38.582857142,New Point
38.893424036,New Point
40.330158730,New Point
41.589841269,New Point
41.952653061,New Point
42.643446712,New Point
43.148480725,New Point
43.866326530,New Point
44.030839002,New Point
44.257233560,New Point
44.501043083,New Point
44.701315192,New Point
44.805804988,New Point
44.959637188,New Point
45.072834467,New Point
45.424036281,New Point
45.621405895,New Point
45.975510204,New Point
46.332517006,New Point
46.466031746,New Point
46.704036281,New Point
46.959455782,New Point
47.818594104,New Point
48.033378684,New Point
50.869115646,New Point
51.774693877,New Point
51.951746031,New Point
53.066303854,New Point
53.295600907,New Point
53.867392290,New Point
54.325986394,New Point
54.546575963,New Point
54.671383219,New Point
54.999365079,New Point
55.662244897,New Point
55.861405895,New Point
56.200997732,New Point
56.305487528,New Point
56.462222222,New Point
56.581224489,New Point
56.958548752,New Point
57.167528344,New Point
57.536145124,New Point
58.276281179,New Point
59.553378684,New Point
59.637551020,New Point
59.858140589,New Point
59.948117913,New Point
60.548934240,New Point
60.752108843,New Point
61.370340136,New Point
61.463219954,New Point
61.561904761,New Point
61.666394557,New Point
61.982766439,New Point
62.087256235,New Point
62.252698412,New Point
62.409433106,New Point
62.751927437,New Point
62.859319727,New Point
63.468843537,New Point
63.608163265,New Point
64.438276643,New Point
65.221950113,New Point
65.503492063,New Point
65.651519274,New Point
66.049160997,New Point
66.156553287,New Point
66.487437641,New Point
66.710929705,New Point
67.044716553,New Point
67.410430839,New Point
67.517823129,New Point
67.892244897,New Point
68.167981859,New Point
68.382766439,New Point
69.923990929,New Point
70.042993197,New Point
70.153287981,New Point
70.339047619,New Point
71.299773242,New Point
71.642267573,New Point
72.115374149,New Point
72.478185941,New Point
72.867120181,New Point
